"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11",-6.7081674331469,-2.27181214690068,-3.92234650982194,-0.00320903951773739,-10.7278737271312,-5.32767027836572,-1.32747868679502,-0.890530760519689,-8.40534671019452,-0.120770212732647,-12.0269191154137,-4.02810074745281,-9.15980947638602,-9.51864259857228,-10.1487576773485,-0.261405943686518,-4.85450080491342,-2.01326582864099,-0.135476319288283,-5.50063687303406,-4.68496109365576
"12",-4.57973954312007,-7.36335890904375,-0.756242581030075,-2.91240387940314,-5.5377188406219,-2.06509672667124,-1.3054789983859,-2.72975720622714,-3.19324325701778,-0.463936283139621,-4.87700522738804,-6.80296439608614,-2.41016047104142,-2.23737901457783,-1.20611921615544,-7.26749455069853,-5.5373628316012,-8.13008682024728,-6.65550669713632,-12.8462200131781,-4.89436320603596
"13",-6.21783134924686,-13.2181658273188,-2.30716503286195,-10.7464479937558,-3.34377778256068,-12.6399309196477,-4.19260815395686,-10.2495016208709,-8.38577617458124,-0.702605021503436,-5.3647109274309,-6.55515747300147,-2.4169137471524,-4.716205888502,-4.52466151946154,-5.38197804259946,-6.08505171788065,-7.02643467999606,-7.46256676033476,-1.7152192091663,-2.36881600995089
"14",-2.80476652342068,-3.19336114753423,-2.05104259798266,-5.72421675456816,-5.03538295356468,-7.57927178968054,-0.926780492404037,-1.19185617579797,-2.18513100726242,-7.48131927917838,-3.58787568919984,-1.59061307395786,-8.46817493497924,-1.77177238650172,-4.2520414806593,-4.76536379215912,-3.21389327266938,-7.83744833877706,-5.8099071642108,-1.1235476057996,-4.73666624154714
"15",-7.67298964604824,-12.5873750263531,-2.13804048849226,-0.104756966896085,-12.5210986564586,-2.20111568742846,-5.06027166981483,-5.83794237070404,-1.74464352187234,-5.2720754658112,-7.993791931893,-6.19842067937345,-10.8403639594817,-6.86994986494958,-2.79917482157941,-3.80839056555488,-4.95882994429648,-5.3581431548714,-3.9356319763208,-2.16867800021591,-6.19437890355469
"16",-12.1563763929287,-5.96377150591133,-5.76661834269503,-4.55106019969077,-5.89658076013227,-6.80955241038231,-9.93361026682205,-0.21954029163338,-10.7609557109854,-0.768547737629193,-5.76023729416298,-4.26626941038916,-8.99855568917887,-0.876745241798526,-5.7893252260244,-6.19735374754639,-3.63057946714482,-13.2886558342582,-4.06314660600351,-0.279984341793908,-1.19338715502532
"17",-5.47465368147869,-13.7517975390386,-5.23479820334425,-0.619371890750288,-6.82010385570086,-2.44352852005497,-4.56808067976631,-4.96364699805498,-5.42217930857018,-11.6337079416909,-4.24563844004861,-5.49126274973195,-2.19172541276887,-0.11730238563255,-6.92713848290107,-4.09138912518184,-2.29356673775541,-0.0970718413594573,-0.158464431559058,-0.506732696903712,-1.90039221902499
"18",-4.65990803301652,-0.162802705484465,-2.61656608380362,-8.15098848742601,-5.82905837140984,-3.85363463950217,-5.0226369371276,-8.64947660201108,-8.36778688658869,-3.17447424191817,-5.81182936506984,-13.5002051736785,-9.10505378060642,-5.54741972021014,-0.00599113079190131,-3.03225553061233,-11.6871595417584,-0.253729289821447,-1.60363583594379,-0.149977429636614,-11.3670582356681
"19",-12.5141275311219,-0.0300182622445205,-2.14354644803262,-8.1720333976704,-6.13890954530135,-10.4205853858692,-0.114463917561605,-2.83193881772945,-12.2924578269176,-4.35374180233244,-12.5918111604308,-0.251196168230852,-5.77033536480626,-3.77458041906543,-2.89385720605807,-1.31920784374848,-12.7380909992473,-3.69901710027767,-2.97086754337719,-0.357895317889108,-12.5099862122149
"20",-0.0570396286961605,-1.91422176476376,-6.28615506705556,-3.81265282954312,-13.6948167320894,-4.18897030158302,-13.4578748421966,-4.78877767780819,-4.87907957236814,-2.17286176957913,-0.813197380413671,-0.477336606772843,-0.80791308647108,-4.70897383910225,-5.42641492214164,-6.70160160410552,-0.969975472198616,-2.97011881588725,-5.058279081849,-2.83564416848877,-14.2611076516469
"21",-1.54696248725617,-6.52713228979132,-2.11297233749732,-6.5698831303356,-0.70219210851094,-2.49954152273095,-6.63955918994732,-4.16919065940605,-5.03345957814101,-11.8788476019538,-11.3756721693657,-4.11625352569932,-8.48487004052793,-13.4175015273941,-12.8111520892988,-8.21201981759112,-1.34126993735123,-3.02977313083526,-1.18878081196414,-5.74234115280397,-7.97702066947839
