"","glm.pred","glm.prednum"
"636","yellow",2
"637","yellow",2
"638","red",1
"639","red",1
"640","red",1
"641","yellow",2
"642","yellow",2
"643","yellow",2
"644","green",3
"645","green",3
"646","green",3
"647","green",3
"648","yellow",2
"649","yellow",2
"650","green",3
"651","yellow",2
"652","yellow",2
"653","yellow",2
"654","yellow",2
"655","yellow",2
"656","yellow",2
"657","yellow",2
"658","yellow",2
"659","yellow",2
"660","yellow",2
"661","yellow",2
"662","yellow",2
"663","yellow",2
"664","yellow",2
"665","yellow",2
"666","yellow",2
"667","yellow",2
"668","yellow",2
"669","yellow",2
"670","yellow",2
"671","yellow",2
"672","yellow",2
"673","yellow",2
"674","yellow",2
"675","yellow",2
"676","yellow",2
"677","green",3
"678","yellow",2
"679","yellow",2
"680","yellow",2
"681","yellow",2
"682","yellow",2
"683","yellow",2
"684","yellow",2
"685","yellow",2
"686","yellow",2
"687","yellow",2
"688","yellow",2
"689","yellow",2
"690","yellow",2
"691","yellow",2
"692","yellow",2
"693","yellow",2
"694","yellow",2
"695","yellow",2
"696","yellow",2
"697","yellow",2
"698","yellow",2
"699","yellow",2
"700","yellow",2
"701","yellow",2
"702","yellow",2
"703","yellow",2
"704","yellow",2
"705","yellow",2
"706","yellow",2
"707","yellow",2
"708","yellow",2
"709","yellow",2
"710","yellow",2
"711","yellow",2
"712","red",1
"713","red",1
"714","red",1
"715","red",1
"716","red",1
"717","red",1
"718","red",1
"719","red",1
"720","red",1
"721","red",1
"722","red",1
"723","red",1
"724","red",1
"725","red",1
"726","red",1
"727","red",1
"728","yellow",2
"729","yellow",2
"730","yellow",2
"731","yellow",2
"732","yellow",2
"733","yellow",2
"734","yellow",2
"735","yellow",2
"736","yellow",2
"737","yellow",2
"738","yellow",2
"739","yellow",2
"740","yellow",2
"741","yellow",2
"742","yellow",2
"743","yellow",2
"744","yellow",2
"745","yellow",2
"746","yellow",2
"747","yellow",2
"748","yellow",2
"749","yellow",2
"750","yellow",2
"751","yellow",2
"752","yellow",2
"753","yellow",2
"754","yellow",2
"755","yellow",2
"756","yellow",2
"757","yellow",2
"758","yellow",2
"759","yellow",2
"760","yellow",2
"761","yellow",2
"762","yellow",2
"763","yellow",2
"764","yellow",2
"765","yellow",2
"766","yellow",2
"767","yellow",2
"768","yellow",2
"769","yellow",2
"770","yellow",2
"771","yellow",2
"772","yellow",2
"773","yellow",2
"774","yellow",2
"775","yellow",2
"776","yellow",2
"777","yellow",2
"778","yellow",2
"779","yellow",2
"780","yellow",2
"781","yellow",2
"782","yellow",2
"783","green",3
"784","green",3
"785","green",3
"786","green",3
"787","green",3
"788","green",3
"789","green",3
"790","green",3
"791","green",3
"792","green",3
"793","green",3
"794","green",3
"795","green",3
"796","green",3
"797","yellow",2
"798","yellow",2
"799","green",3
"800","green",3
"801","green",3
"802","yellow",2
"803","yellow",2
"804","yellow",2
"805","yellow",2
"806","yellow",2
"807","yellow",2
"808","yellow",2
"809","yellow",2
"810","yellow",2
"811","yellow",2
"812","yellow",2
"813","yellow",2
"814","yellow",2
"815","yellow",2
"816","yellow",2
"817","yellow",2
"818","yellow",2
"819","yellow",2
"820","yellow",2
"821","yellow",2
"822","yellow",2
"823","yellow",2
"824","yellow",2
"825","yellow",2
