,ARMA-ARCH-before,ARMA-ARCH-update,ARIMA-before,ARIMA-update,GAM-before,GAM-update,LM-before,LM-update,LSTM-before,LSTM-update,benchmark
50,135.005645650257,209.298871859567,68.8724112553677,146.459434575928,19.4043383383705,94.3629754522776,79.6641496553026,158.175622558329,109.733202604448,179.118584488334,149.695548320246
51,133.500442158021,208.342579869769,68.0906908813136,145.940665261109,17.6390380621016,93.2172539289859,77.6941256206444,157.089183748647,106.892258328171,177.608602332132,147.503325096046
52,132.630660477621,208.015272352313,68.3198019992413,146.255722680287,17.1642080444076,93.2278460220913,73.2353009234449,154.927969854158,101.628463866442,175.040213596141,146.178719693058
53,131.731562115082,206.707167051033,68.3057083934837,145.478750921241,19.6610865723288,94.4274537296293,73.7372964159217,154.641352125109,102.299831550916,174.910149896285,143.647687675181
54,134.871805889917,208.306733915557,70.6505396069464,146.553813225648,26.1657953455302,100.923724679659,77.1212647500016,156.189793951832,100.577491403496,172.727660737756,143.804306345489
55,145.367247331148,222.679273029996,79.321858818628,161.127223673747,31.067867827881,113.702088666916,80.8713129515733,168.307977177505,104.24297552141,185.289710937134,151.102284169727
56,148.88604751469,231.052269696326,87.5377391105614,170.291836897542,44.30745671707,127.889863512784,82.2656895967284,177.001590568496,115.307367927597,197.526567218154,166.38487163231
57,158.279333853435,245.043846032276,102.906505567649,187.682979249491,63.9897518423141,148.055154463304,95.5033656865649,193.226852985425,129.75678152028,213.169852035021,178.603075912368
58,173.292619851304,260.151357837441,108.390231157426,197.237819025436,74.6001981941858,161.268113273942,102.588543011896,203.746499936137,142.714082596513,227.771040298559,196.458891386451
59,208.796258681115,295.931450491588,108.914095686948,209.826144090071,103.441737419655,191.510597085627,134.191139063879,236.353257736243,160.469346701072,245.555059370202,208.845112017134
60,223.466432325401,311.565933155013,121.319754254439,225.367951316981,104.628325768723,203.391307125073,149.352099804353,252.918193277373,166.591080661435,258.985404902052,228.038193801632
61,231.172289320474,321.233173374714,123.048518853406,227.265068360761,118.134438003269,218.458937455449,170.453642825297,274.890488925851,177.491599640317,272.205482771364,246.313399167778
62,234.121080955888,324.762466258199,123.098849705018,228.897804687268,119.062256960772,225.319750079344,176.898647762104,283.486659917991,183.979090248322,283.233501557987,251.673485277679
63,235.787141628147,327.058775368373,130.404498486932,236.342618739464,122.189590194072,228.687703177731,180.681770073974,288.858579301837,191.804612213521,291.380940534742,268.060547349178
64,230.880973109981,321.216780865715,129.662778231946,235.530667294919,121.338179388981,226.906512708752,178.195478816713,284.902162451673,187.419181859585,286.853278988578,270.601917886662
65,230.070775552114,320.423443319019,129.573413222038,235.474255970008,120.960511153525,226.535613568179,177.25780121562,283.973534201116,187.4314262714,286.90380001188,269.490143306879
66,228.408183018214,318.311923852636,127.10036676737,232.987396484181,119.341698813258,224.423148148792,174.669877031155,281.244011763015,185.905576930775,284.911035780984,268.459015711091
67,226.607547271941,317.173686342383,119.639437181861,226.415206259431,106.528655653425,211.717983594059,171.998140813277,279.126894217993,169.248480831401,268.254872349489,265.771791305984
68,210.945439445122,301.543918182205,111.973559087785,219.330995718814,99.3021617052685,205.060588609318,153.067863324765,260.458372701079,154.815582348787,254.170916506131,261.633333327582
69,207.56033384618,298.055048365985,103.546395824122,210.880361906999,87.9964768820088,193.745464396954,151.315529259931,258.562938151576,144.203641677286,243.533726359464,236.233086769029
70,198.898019937078,293.506200113399,97.6468332980546,207.540908243676,84.5736260832255,191.342139593061,147.661942388334,256.249659786048,137.316249494699,239.706035679637,230.163313599232
71,189.933382780682,285.176774108302,90.4497261089429,200.371088524545,79.3677212474705,187.544497948507,147.623614749341,256.219433035546,128.545389244623,231.260234068218,227.412550242233
72,184.66943093623,281.262981542329,88.765733006335,199.413805296028,78.3876123166468,186.618872062712,147.016078296668,255.738346517003,127.490764304046,230.697583651052,217.112413239406
73,188.671938639408,284.675822176346,94.4318581605256,203.189849225699,82.913725315236,189.715861686844,159.474691903839,262.115796840389,133.932484370729,234.490048737634,210.614715716828
74,190.23820092411,285.496751447758,95.1818284359128,203.718116193657,83.7859101377698,190.508260039782,160.252680741855,262.897774907407,135.19295223857,235.280418470544,219.09711604026
75,183.480671500082,278.633081513991,87.4773794468826,195.957390759236,63.5675431437683,170.276971784001,159.643271788294,262.280523980744,119.931762626461,220.008089960809,220.290146852363
76,163.939082178271,259.12081639513,88.6277521081158,197.156928632476,62.5233029586849,169.313378369927,153.110499330348,255.874420770195,104.626895096721,204.841842834146,218.918734717044
77,164.17268113411,260.03531250466,95.0707050339692,203.87205418813,74.4666005345554,181.667546885669,161.603549093678,264.714395283181,126.62838502215,226.844098519353,212.301741190065
78,163.98454691227,260.587561188434,94.0916255093777,203.228806932762,74.4088550777832,182.561764391849,162.294646386232,265.524738412238,128.787755650369,229.025175647092,223.677321478161
79,167.353378587002,265.539715728411,97.7930433168793,209.019378146547,74.7889905719583,184.277934206076,166.890251412421,271.558591912402,131.280060186434,232.638655257433,221.05591507664
80,171.213583889762,270.771748596189,101.816260646265,213.719691127423,78.1818155788248,188.631679995533,171.298279011041,277.092015935759,133.462035157756,236.848338150649,223.660512579019
81,170.723266545269,270.301657288398,103.778681363575,215.744445600711,78.782367019524,189.538677582843,171.911712778221,277.910855545362,133.893309390111,237.44466930725,231.058183835322
82,172.030278970919,271.515394333922,98.7948247059052,209.302029979557,77.4433980276181,187.371958299916,171.372642729973,272.972852828036,122.045285150402,225.163196184367,231.947861653155
83,157.82912931473,257.046080778646,94.6983021221278,204.812040016331,72.5321446951318,182.45256290497,155.300067435983,256.665735956217,118.445195103716,221.156622651713,232.303085408909
84,152.018334307423,251.210973237851,89.714108634421,199.497183265489,62.2659906924199,172.114896322141,154.228340340873,254.729281933478,106.848716243286,209.495864423478,220.391561156439
85,151.137199138397,250.011597534885,87.0706013937147,197.510657094371,59.2996211733013,170.185980144426,152.772904364214,253.350574015778,106.138691235017,208.419440880215,214.277434273124
