,LSTM
553,17808.54609375
554,17836.517578125
555,18099.75078125
556,18234.9296875
557,18237.276953125
558,18433.2671875
559,19427.5828125
560,20192.715234375
561,20759.258203125
562,21321.74140625
563,21451.124609375
564,21537.553515625
565,21996.38359375
566,22112.723046875
567,22574.144140625
568,23373.096484375
569,24235.783984375
570,24437.358203125
571,24923.236328125
572,25328.653125
573,26030.7734375
574,26391.137109375
575,27028.776171875
576,28486.332421875
577,29188.54765625
578,29350.007421875
579,30528.93046875
580,32186.37734375
581,33685.879296875
582,34788.13671875
583,35128.78515625
584,34400.097265625
585,33265.315625
586,32793.8203125
587,34411.2046875
588,35814.36953125
589,35610.4234375
590,35271.8421875
591,34682.562109375
592,34120.73984375
593,33542.230078125
594,33383.88203125
595,31890.880078125
596,32325.31015625
597,31628.54765625
598,31272.08359375
599,31119.389453125
600,30980.875
601,29811.184375
602,31247.91953125
603,31450.13203125
604,31225.9296875
605,30955.802734375
606,31205.2109375
607,32013.18828125
608,32925.61640625
609,33196.76015625
610,34071.859375
611,34883.92734375
612,35354.44375
613,38505.57421875
614,39495.30625
615,39674.93515625
616,41262.884375
617,41495.07421875
618,41317.7515625
619,42359.83203125
620,43108.81328125
621,43862.7515625
622,45693.17578125
623,46180.7546875
624,47920.23359375
625,48754.8953125
626,49451.36328125
627,48202.07578125
628,46494.559375
629,46624.8359375
630,45469.0109375
631,45550.409375
632,45827.4515625
633,45855.97734375
634,46580.515625
635,45799.8359375
636,45908.0109375
637,44805.1515625
638,44840.528125
639,44431.10859375
640,45541.21875
641,46374.26171875
642,48474.77734375
643,49012.153125
644,49602.078125
645,49870.06953125
646,51664.8375
647,51524.0453125
648,50985.8828125
649,51838.97421875
650,53010.27890625
651,52927.10703125
652,53485.9359375
653,53943.33046875
654,53449.2625
655,51963.45703125
656,51611.67890625
657,50550.33671875
658,49990.071875
659,51186.1765625
660,51421.2
661,51305.6234375
662,51821.04453125
663,52048.67109375
664,52651.50703125
665,52154.240625
666,52064.41484375
667,51430.7796875
668,52134.98515625
669,52834.6859375
670,52871.4640625
671,52621.9875
672,53743.89296875
673,53888.33203125
674,54480.103125
675,54744.35234375
676,54964.89296875
677,56456.68671875
678,55591.35078125
679,55858.34609375
680,55491.06796875
681,55226.1046875
682,53841.47265625
683,53664.45
684,53842.98984375
685,52506.765625
686,51134.1875
687,49991.20078125
688,49919.8671875
689,48637.79453125
690,49919.4890625
691,50102.4015625
692,49817.38984375
693,49283.7234375
694,50598.50703125
695,50492.6578125
696,50238.9546875
697,50692.7125
698,49707.38984375
699,51282.04296875
700,51375.87890625
701,52318.13359375
702,53327.08515625
703,53590.3765625
704,52628.1609375
705,52409.128125
706,49382.2390625
707,48832.66953125
708,48516.5828125
709,46814.8171875
710,45838.15703125
711,44279.890625
712,43890.4171875
713,40514.4390625
714,40795.1046875
715,38586.49765625
716,37935.05078125
717,36527.725
718,37317.6546875
719,36732.9484375
720,36649.63984375
721,36115.61328125
722,34569.417578125
723,33781.24453125
724,33763.40390625
725,34520.881640625
726,34631.5546875
727,35539.81640625
728,35818.46796875
729,34511.173046875
730,33541.91796875
731,33317.140625
732,32451.399609375
733,32595.230078125
734,34267.904296875
735,34321.2390625
736,34387.762109375
737,33920.104296875
738,34895.798046875
739,35326.88671875
740,35575.79765625
741,35224.0015625
742,35241.759375
743,34375.721484375
744,34113.526953125
745,34205.80078125
746,32964.20703125
747,33183.786328125
748,33293.828515625
749,32928.734375
750,31255.227734375
751,32039.398828125
752,32392.71171875
753,32209.552734375
754,32535.094140625
755,32268.925
756,31853.113671875
757,31870.3984375
758,32253.44765625
759,32561.8359375
760,32480.151171875
761,32934.83203125
762,32656.33671875
763,32230.969921875
764,32316.3734375
765,32159.645703125
766,32203.130078125
767,32154.7703125
768,31650.49296875
769,31286.571484375
770,30831.03046875
771,30645.139453125
772,30613.838671875
773,30602.37890625
774,29992.082421875
775,29637.354296875
776,30267.401953125
777,30388.017578125
778,30902.93984375
779,31304.803125
780,31961.7875
781,32903.649609375
782,34082.02265625
783,34818.81640625
784,35441.15390625
785,36810.91796875
786,36958.6609375
787,36662.778125
788,36611.77265625
789,36547.05
790,37318.91171875
791,38188.5625
792,39424.13203125
793,40412.2515625
794,40473.05234375
795,41274.409375
796,41095.4484375
797,41218.74375
798,41199.1015625
799,42906.70078125
800,43046.58984375
801,43280.5
802,43080.8859375
803,42621.27421875
804,42642.68984375
805,43488.3421875
806,44784.09453125
807,45022.95078125
808,45497.884375
809,45459.58046875
810,44661.93203125
811,44852.259375
812,44322.83203125
813,45298.934375
814,45525.3421875
815,45619.88828125
816,44908.884375
817,44910.3890625
818,45419.01171875
819,45615.84296875
820,46091.54375
821,46258.50859375
822,47200.55390625
823,46564.9515625
824,44531.6109375
825,44151.671875
