,LSTM,f.arima,f.arch,f.lm,f.gam
729,0.006907730756383311,-0.000482891644024,-0.0007515853216745,0.0006115972772499,0.0006115972772499
730,0.0008543141068326904,-0.0004122438611269,-0.0004134785993434,0.0006106210386814,0.0006106210386814
731,0.0007998647887517148,6.71108866926264e-05,0.0003701853456142,0.000606954568814,0.000606954568814
732,0.002346647838949978,0.0005313866183638,0.0007415085852271,0.0006059859142724,0.0006059859142724
733,0.000933282546286699,0.0007273539749066,0.0005854853212409,0.0006108315870562,0.0006108315870562
734,-0.0018513677993664184,0.0006832614946349,0.000368546030996,0.0006116270708537,0.0006116270708537
735,-0.003316420294782099,0.0003919833005653,0.0002312102449623,0.0006034042637346,0.0006034042637346
736,-0.0012854657820007191,-0.0001137218267694,-8.94433275100591e-06,0.0005931597876674,0.0005931597876674
737,-0.004557683746172899,-0.000548424708656,-0.0003090126013046,0.0005922131755409,0.0005922131755409
738,-0.0032762858670134475,-0.0004009802256178,-4.09629615802586e-05,0.0005723432405855,0.0005723432405855
739,0.00018030373596269268,-0.0002655135800805,-0.0002163221253761,0.0005714274369101,0.0005714274369101
740,-0.0004310185260721806,0.0001639330089516,-9.3891576176999e-05,0.000569896537174,0.000569896537174
741,-0.02767414493992914,0.0005768271256475,0.0002278342364688,0.0005636203472131,0.0005636203472131
742,-0.01817871538608301,0.0008691925105931,0.0010245235668124,0.000461350211111,0.000461350211111
743,-0.0022334693962121955,-0.0014529209102564,-0.0018220466648134,0.0004533619665964,0.0004533619665964
744,-0.0009829660631728073,-0.0025808219641107,-0.0029740751983022,0.0004526189995791,0.0004526189995791
745,-0.0016762648587156813,-0.0018102680207942,-0.0016241339262055,0.0004544012915559,0.0004544012915559
746,-0.00520889126774293,0.000196839027552,0.0006419513525556,0.0004536575160648,0.0004536575160648
747,-0.00018905335390340857,0.0019639264839453,0.0019280174216714,0.0004529151468772,0.0004529151468772
748,-0.005775481464953843,0.0023603279024934,0.001514629892139,0.0004735342746069,0.0004735342746069
749,-0.002797068702367009,0.0017115018324762,0.0008844844867805,0.0004641377368772,0.0004641377368772
750,0.002019739537234248,-1.92197971542226e-05,-0.0002062871366682,0.0004656891462119,0.0004656891462119
751,0.001490671127225275,-0.0013866939419466,-0.0006768531210356,0.000464930929907,0.000464930929907
752,-0.0013467624380550935,-0.0015895874289058,-0.0003508964526454,0.0004560503992119,0.0004560503992119
753,-0.003392098603757171,-0.0007805257783595,3.66473875905973e-05,0.0004553066357522,0.0004553066357522
754,0.0008169350209463961,0.0005881826204066,0.0005752992571431,0.0004226959588372,0.0004226959588372
755,0.011624785154580215,0.0009124907986674,-0.0002450870208409,0.0004320092032335,0.0004320092032335
756,0.006573412941755597,0.0008862003011443,-0.0005376482198421,0.0004550350745159,0.0004550350745159
757,0.00045055858702893316,0.0007935519313083,0.0003793507493204,0.0004602432100992,0.0004602432100992
758,0.0018815598215200953,0.0004342942421114,0.0011548533270272,0.0004594951859617,0.0004594951859617
759,0.00043834515183097377,-4.11533353886417e-05,0.0010146659320266,0.000465376431308,0.000465376431308
760,0.004190250866615645,-0.0002322849160616,0.000508503196658,0.0004646217877603,0.0004646217877603
761,-0.003269699108149658,-0.0001840885865023,-0.0001942334189834,0.0004873532817644,0.0004873532817644
762,-0.006089645645425902,0.000592075818411,0.0002327474984188,0.0004800381826719,0.0004800381826719
763,-0.001271470485989471,0.0008713043041476,0.000417858941277,0.0004831026522315,0.0004831026522315
764,-0.0030248895661497137,0.0007588200777165,0.0004752263083003,0.0004801893219227,0.0004801893219227
765,-0.005116815983120563,0.0002272695156618,0.0002763686131682,0.0004794153697403,0.0004794153697403
766,-0.002182745413481296,-0.0002361630347499,0.0001732545650572,0.0004615670042354,0.0004615670042354
767,0.008961340144107625,-0.0007378968647133,-0.0003518716804128,0.000460820127765,0.000460820127765
768,0.011846820983826582,-0.0006456244030811,-0.0006018628763987,0.0004871804108496,0.0004871804108496
